year,univ_cd,jaejeong_cd,jaejeong_gwonhan_yn,gwonhan_etc_txt
2019-11-05 16:25:36.619000,YYYY-MM-DD HH24:MI:SS.FF,univ20,,
2019-11-05 16:25:24.665000,YYYY-MM-DD HH24:MI:SS.FF,univ20,,
2020-01-16 11:38:25.598000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,
2020-01-16 11:38:25.600000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,
2020-01-16 12:36:20.953000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,
2020-01-16 12:36:20.956000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,
2019-07-15 10:35:17.969000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,
2019-07-15 10:35:18.000000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,
2019-08-07 16:15:49.835000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,
2019-08-07 16:15:49.835000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,
2019-08-02 10:42:25.356000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,
2019-08-02 10:42:25.375000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,
2019-08-05 09:58:07.356000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,
2019-08-05 09:58:07.360000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,
2019-07-22 16:59:06.912000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,
2019-07-22 16:59:06.928000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,
2019,UNIV22,1,1,
2019,UNIV22,2,1,
2019,UNIV06,1,1,
2019,UNIV06,2,1,
2020-08-11 14:08:31.471000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,
2020-08-11 14:08:31.471000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,
2019,UNIV14,1,1,
2019,UNIV14,2,1,
2019,UNIV39,1,1,
2019,UNIV39,2,1,
2019,UNIV30,1,1,
2019,UNIV30,2,1,
2019,UNIV37,1,1,
2019,UNIV37,2,1,전결금액은 계정과목별 상이함
2019,UNIV35,1,1,
2019,UNIV35,2,1,
2019,UNIV17,1,1,
2019,UNIV17,2,1,
2019,UNIV02,1,0,
2019,UNIV02,2,0,
2019,UNIV24,1,1,
2019,UNIV24,2,1,
2019,UNIV36,1,0,
2019,UNIV36,2,1,
2019,UNIV11,1,1,
2019,UNIV11,2,1,
2019,UNIV21,1,1,
2019,UNIV21,2,1,
2019,UNIV23,1,1,학장의 확인과 결재 필요
2019,UNIV23,2,1,
2019,UNIV32,1,1,
2019,UNIV32,2,1,
2019,UNIV04,1,1,
2019,UNIV04,2,1,
2019,UNIV09,1,1,
2019,UNIV09,2,1,
2019,UNIV12,1,1,
2019,UNIV12,2,1,
2020,UNIV05,1,1,
2020,UNIV05,2,1,
2020,UNIV14,1,1,
2020,UNIV14,2,1,
2020,UNIV19,1,1,
2020,UNIV19,2,1,
2021-09-17 11:23:49.070000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,
2021-09-17 11:23:49.070000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,
2019,UNIV29,1,1,
100만원 이상),,,,
2021-09-23 15:44:41.482000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,
2021-09-23 15:44:41.484000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,
2021-09-27 17:58:49.047000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,
2021-09-27 17:58:49.047000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,
2020,UNIV07,2,1,
2020,UNIV31,1,1,
2020,UNIV31,2,1,
2020,UNIV17,1,1,
2020,UNIV17,2,1,
2019,UNIV19,1,1,
2019,UNIV19,2,1,
2019,UNIV07,2,1,
2020,UNIV25,1,1,
2020,UNIV25,2,1,
2020,UNIV06,1,1,
2020,UNIV06,2,1,
2021-05-11 16:05:39.563000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,
2021-05-11 16:18:34.302000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,
2021-05-11 16:18:26.392000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,
2019,UNIV18,2,1,구매 : 1억미만
2019,UNIV03,1,1,
2019,UNIV03,2,1,
2019,UNIV16,1,1,
2019,UNIV16,2,1,
2021-08-26 17:23:20.440000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,
2021-06-18 14:12:30.840000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,
2021-06-18 14:12:30.843000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,
2019,UNIV08,1,1,
2019,UNIV08,2,1,
2021-09-02 11:44:03.629000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,
2021-09-02 11:44:03.629000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,
2021-09-07 15:55:40.760000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,
2021-09-07 16:35:42.285000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,
2020,UNIV03,1,1,
2020,UNIV03,2,1,
2021-11-04 14:35:40.322000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,
2021-11-04 14:35:40.325000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,
2021-08-26 17:23:20.433000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,
2020,UNIV40,1,1,2019
2020,UNIV40,2,0,2019
2020,UNIV12,1,1,
2020,UNIV12,2,1,
2020,UNIV39,1,1,
2020,UNIV39,2,1,
2020,UNIV34,1,1,
2020,UNIV34,2,1,
2021-08-31 10:58:02.042000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,
2021-08-31 10:58:02.044000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,
2021-09-08 16:12:33.574000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,
2021-09-08 16:12:33.574000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,
2020,UNIV09,1,1,
2020,UNIV09,2,1,
2020,UNIV41,1,1,
2020,UNIV41,2,1,
2020,UNIV20,1,1,
2020,UNIV20,2,1,
2020,UNIV33,1,1,
2020,UNIV33,2,1,
2020,UNIV08,1,1,
2020,UNIV08,2,1,
2021-08-30 17:21:01.903000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,
2021-08-30 17:21:01.906000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,
2020,UNIV02,1,0,
2020,UNIV02,2,0,
2020,UNIV21,1,1,
2020,UNIV21,2,1,
2020,UNIV37,1,1,
2020,UNIV37,2,1,전결금액은 계정과목별 상이함
2021-09-13 10:03:06.250000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,
2021-09-13 10:03:06.266000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,
2020,UNIV32,1,1,
2020,UNIV32,2,1,
2020,UNIV35,1,1,
2020,UNIV35,2,1,
