year,univ_cd,gyoyuk_jusu_gb,gaeseol_hakgi_gb,gyoyuk_jusu_euiye_1,gyoyuk_jusu_euiye_2,gyoyuk_jusu_euihak_1,gyoyuk_jusu_euihak_2,gyoyuk_jusu_euihak_3,gyoyuk_jusu_euihak_4
2019-08-16 09:52:00.297000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,,,,
2019-08-16 09:52:00.299000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,,,,
2019-08-19 15:47:23.721000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,,
2019-08-19 15:47:23.723000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,,
2019-08-30 17:04:41.048000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,
2019-09-05 15:06:31.285000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,,
2019-09-05 15:06:31.293000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,,
2019-09-05 15:06:31.288000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,,
2019-08-21 16:50:27.596000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,,,,
2019-08-21 16:50:27.596000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,,,,
2019-09-11 10:53:34.198000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,,
2019-09-11 10:53:34.216000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,,
2019-09-11 10:53:34.218000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,,
2019-09-11 10:53:34.220000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,,
2019-09-24 18:39:28.933000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,
2019-09-24 18:39:28.940000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,
2019-09-24 18:39:28.942000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,
2019-09-24 18:39:28.944000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,
2019-10-02 11:32:11.918000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,,,,
2019-10-02 11:32:11.923000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,,,,
2019-10-02 11:32:11.925000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,,,,
2019-10-02 11:32:11.927000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,,,,
2021-05-17 14:47:30.826000,YYYY-MM-DD HH24:MI:SS.FF,univ20,,,,,,,
2020-02-03 10:50:26.158000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,
2020-02-06 13:23:55.176000,YYYY-MM-DD HH24:MI:SS.FF,univ26,,,,,,,
2020-02-06 13:23:55.191000,YYYY-MM-DD HH24:MI:SS.FF,univ26,,,,,,,
2020-02-06 13:28:43.150000,YYYY-MM-DD HH24:MI:SS.FF,univ26,,,,,,,
2020-02-06 13:28:43.150000,YYYY-MM-DD HH24:MI:SS.FF,univ26,,,,,,,
2019-10-31 10:39:03.140000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,,
2019-10-31 10:39:03.140000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,,
2019-09-06 16:02:11.269000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,
2019-09-06 16:02:11.271000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,
2019-07-15 09:27:07.709000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,
2019-07-15 09:27:07.725000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,
2019-08-09 10:53:31.400000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,,
2019-08-09 10:53:31.403000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,,
2019-08-08 13:36:22.213000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,
2019-08-15 21:38:57.358000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,
2019-08-08 13:36:22.215000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,
2019-08-15 21:38:57.360000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,
2019-08-23 09:02:34.451000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,
2019-08-23 09:04:16.077000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,
2019-08-28 16:33:38.627000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,
2019-08-23 09:02:56.648000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,
2019-08-12 17:25:18.934000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,
2019-08-12 17:25:18.937000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,
2019-08-12 17:25:56.571000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,
2019-08-12 17:25:56.573000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,
2020-11-25 16:15:38.562000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,,
2020-11-25 16:15:38.566000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,,
2020-11-25 16:15:38.561000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,,
2020-11-25 16:15:38.564000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,,
2020-09-02 14:18:59.571000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,
2020-09-02 14:23:19.268000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,
2020-09-02 14:21:52.181000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,
2019,UNIV24,2,2,2,2,4,4,,
2020-09-24 18:12:44.688000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,,,
2019,UNIV32,2,1,,,4,3,,
2020-09-24 18:12:44.688000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,,,
2019,UNIV32,2,2,,,4,3,3,
2019,UNIV26,1,1,16,16,18,19,19,20
2019,UNIV26,2,1,1,1,1,1,1,1
2019,UNIV26,1,2,16,16,20,18,20,20
2019,UNIV26,2,2,1,1,1,1,1,1
2019,UNIV36,1,2,15,15,18,18,18,18
2019,UNIV36,1,1,15,15,18,18,18,18
2019,UNIV36,2,2,1,1,,,,
2019,UNIV36,2,1,1,1,,,,
2020-09-17 14:53:11.531000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,,
2019,UNIV35,2,2,1,1,1,,,
2019,UNIV35,2,1,1,1,,,,
2020-09-17 14:53:11.531000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,,
2020-08-14 18:21:42.336000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,,
2019,UNIV09,2,1,2,2,,,,
2019,UNIV09,2,2,2,2,,,,
2020-09-18 11:11:03.396000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,
2020-09-18 11:11:03.396000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,
2020-09-21 09:52:35.400000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,,
2020-09-21 09:52:35.400000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,,
2019,UNIV05,1,1,15,15,19,20,20,20
2019,UNIV05,1,2,15,15,20,20,20,
2019,UNIV34,1,1,16,16,18,17,22,25
2019,UNIV34,1,2,16,16,16,16,18,6
2019,UNIV34,2,2,1,1,,,,
2019,UNIV34,2,1,1,1,,,,
2019,UNIV22,2,2,2,0,0,0,1,0
2019,UNIV22,2,1,2,2,0,0,1,2
2019,UNIV22,1,2,16,18,18,18,18,18
2019,UNIV22,1,1,16,17,18,18,27,21
2019,UNIV11,2,2,2,2,,,,
2019,UNIV11,1,1,15,16,16,16,16,16
2019,UNIV11,2,1,2,2,,,,
2019,UNIV11,1,2,15,16,16,16,16,16
2019,UNIV21,1,2,15,16,19,19,20,19
2019,UNIV21,2,1,2,,,,,
2019,UNIV21,2,2,2,,,,,
2019,UNIV21,1,1,15,14,19,20,23,25
2020-09-16 16:47:54.234000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,,
2020-09-16 16:47:54.234000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,,
2020-09-21 15:30:40.493000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,
2020-09-21 15:29:24.846000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,
2019,UNIV31,2,2,,,2,2,1,1
2020-09-21 15:29:24.846000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,
2020-10-30 14:43:44.097000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,,
2020-10-30 14:43:44.099000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,,
2020-10-23 09:27:08.910000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,,
2020-10-23 09:27:08.912000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,,
2020-11-19 13:49:03.580000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,,,
2020-11-19 13:49:03.582000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,,,
2019,UNIV13,2,1,2,2,,,,
2019,UNIV13,2,2,2,2,,,,
2019,UNIV12,1,1,15,15,18,19,22,23
2019,UNIV12,1,2,15,15,18,19,22,23
2020-11-26 15:19:55.227000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,
2020-11-26 15:19:55.229000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,
2019,UNIV33,1,1,15,15,17,18,22,19
2020-12-29 21:13:25.046000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,
2020-12-29 21:09:32.619000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,
2020-12-29 21:13:25.043000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,
2020,UNIV32,1,1,,,19,17,25,22
2020,UNIV32,1,2,,,17,17,21,15
2020,UNIV32,2,1,,,4,3,,
2020,UNIV32,2,2,,,4,3,3,
2021-09-29 13:05:30.052000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,,
2021-09-29 13:05:30.052000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,,
2020,UNIV37,2,1,1,1,,,,
2020,UNIV37,2,2,1,1,,,,
2020,UNIV06,1,1,13,13,18,21,23,23
2021-10-19 15:01:50.047000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,,,
2020,UNIV06,2,1,2,2,20,19,20,21
2020,UNIV06,2,2,2,2,,,3,
2021-11-03 15:50:34.636000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,,
2021-10-22 09:14:12.502000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,,
2020,UNIV29,1,1,16,16,20,22,25,21
2020,UNIV29,1,2,16,16,17,16,16,7
2020,UNIV29,2,1,2,2,,,,
2020,UNIV29,2,2,2,2,,,,
2021-09-02 11:25:41.638000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,,
2021-09-02 11:25:41.638000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,,
2021-09-13 10:09:51.729000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,,
2021-09-13 10:09:51.729000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,,
2020,UNIV19,2,1,2,2,,,,
2020,UNIV19,2,2,2,2,,3,,
2020,UNIV33,1,1,15,15,17,18,22,19
2020,UNIV33,1,2,16,16,17,22,20,20
2020,UNIV33,2,1,4,4,2,1,1,1
2020,UNIV33,2,2,4,4,2,1,1,1
2020,UNIV11,2,2,2,2,,,,
2020,UNIV11,1,1,15,16,16,16,16,16
2020,UNIV11,2,1,2,2,,,,
2020,UNIV11,1,2,15,16,16,16,16,16
2021-09-29 13:28:58.684000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,
2021-09-29 13:28:58.684000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,
2020,UNIV23,2,1,2,2,,,,
2020,UNIV23,2,2,2,2,,,,
2021-10-18 15:23:06.341000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,,
2021-10-18 15:23:06.341000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,,
2021-08-26 17:41:02.923000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,
2021-08-26 17:41:02.925000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,
2020,UNIV27,1,1,15,15,18,21,24,25
2020,UNIV27,1,2,15,15,22,22,22,3
2020,UNIV27,2,1,2,2,,,,
2020,UNIV27,2,2,2,2,,,,
2021-10-21 16:46:17.347000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,,,,
2021-10-21 16:46:17.347000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,,,,
2021-04-23 10:36:21.190000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,
2021-04-23 10:36:21.192000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,
2021-04-23 10:34:37.432000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,
2021-04-23 10:36:21.194000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,,
2019,UNIV19,2,1,2,2,,,,
2019,UNIV19,2,2,2,2,,3,,
2019,UNIV19,1,2,14,14,18,14,16,16
2019,UNIV19,1,1,14,14,19,20,30,22
2021-05-04 09:26:22.921000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,
2021-05-04 09:26:22.927000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,
2021-05-04 09:26:33.554000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,
2021-05-04 09:26:33.556000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,,
2021-05-18 11:31:55.267000,YYYY-MM-DD HH24:MI:SS.FF,univ37,,,,,,,
2021-05-18 11:31:55.269000,YYYY-MM-DD HH24:MI:SS.FF,univ37,,,,,,,
2021-05-10 15:15:11.296000,YYYY-MM-DD HH24:MI:SS.FF,univ37,,,,,,,
2021-05-10 15:15:11.298000,YYYY-MM-DD HH24:MI:SS.FF,univ37,,,,,,,
2019,UNIV16,1,2,16,16,16,19,22,16
2019,UNIV16,2,1,1,1,1,2,2,1
2019,UNIV16,2,2,1,1,1,1,2,3
2020,UNIV25,1,1,15,15,21,23,,
2020,UNIV25,1,2,15,15,23,22,,
2020,UNIV25,2,1,1,1,,,,
2020,UNIV25,2,2,1,1,,,,
2019,UNIV29,1,1,16,16,20,22,25,21
2019,UNIV29,1,2,16,16,17,16,16,7
2019,UNIV29,2,1,2,2,,,,
2019,UNIV29,2,2,2,2,,,,
2019,UNIV16,1,1,16,16,16,18,22,21
2020,UNIV10,1,1,16,16,19,22,26,25
2021-07-09 21:24:49.451000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,,,,,,,
2020,UNIV10,2,1,2,2,,,,
2020,UNIV10,2,2,2,2,,,,
2019,UNIV03,1,1,,,18,18,20,27
2019,UNIV03,1,2,,,18,19,20,5
2019,UNIV07,1,1,16,16,16,16,16,20
2019,UNIV07,1,2,16,16,16,16,16,20
2019,UNIV07,2,1,2,2,2,2,2,1
2019,UNIV07,2,2,2,2,2,2,2,
2021-05-17 14:47:30.828000,YYYY-MM-DD HH24:MI:SS.FF,univ20,,,,,,,
2021-05-17 14:47:30.830000,YYYY-MM-DD HH24:MI:SS.FF,univ20,,,,,,,
2021-05-17 14:47:30.832000,YYYY-MM-DD HH24:MI:SS.FF,univ20,,,,,,,
2021-05-18 13:08:51.711000,YYYY-MM-DD HH24:MI:SS.FF,univ37,,,,,,,
2021-05-18 13:08:51.714000,YYYY-MM-DD HH24:MI:SS.FF,univ37,,,,,,,
2021-05-18 13:08:51.716000,YYYY-MM-DD HH24:MI:SS.FF,univ37,,,,,,,
2021-05-18 13:08:51.717000,YYYY-MM-DD HH24:MI:SS.FF,univ37,,,,,,,
2019,UNIV08,1,1,16,16,17,18,20,20
2019,UNIV08,1,2,16,16,17,18,24,16
2019,UNIV08,2,1,,,2,1,1,
2019,UNIV08,2,2,,,2,1,1,
2021-06-21 10:27:16.125000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,,,,
2021-06-21 10:27:16.128000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,,,,
2021-06-21 10:27:16.130000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,,,,
2021-06-21 10:27:16.132000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,,,,
2020,UNIV31,1,1,,,19,20,21,23
2020,UNIV31,1,2,,,19,20,21,23
2020,UNIV31,2,1,,,2,2,2,1
2020,UNIV31,2,2,,,2,2,1,1
2021-10-25 17:14:38.579000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,,,,
2021-10-25 17:14:38.581000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,,,,
2021-10-13 08:56:01.692000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,,
2021-10-13 08:56:01.695000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,,,
2021-09-09 17:33:37.085000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,,
2021-09-09 17:33:37.085000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,,
2020,UNIV34,2,1,1,1,,,,
2020,UNIV34,2,2,1,1,,,,
2021-09-17 14:44:39.836000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,
