year,univ_cd,upmu_gb,inwon_gita,inwon_tot,inwon_jeonggyu,inwon_bijeonggyu
2019-08-05 08:48:07.026000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,
2019-08-07 16:22:49.099000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,
2019-08-07 16:22:49.099000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,
2019-08-05 08:48:07.032000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,
2019-08-05 08:48:07.035000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,
2019-08-05 08:48:07.037000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,
2019-08-05 08:48:07.039000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,
2019-08-08 09:45:20.405000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,
2020-11-27 10:54:14.979000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,
2020-11-27 10:54:14.982000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,
2020-11-27 10:54:14.976000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,
2020-11-27 10:54:14.978000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,
2020-11-27 10:54:14.983000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,
2020-11-27 10:54:14.972000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,
2020-11-27 10:54:14.974000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,
2020-11-27 10:54:14.971000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,
2020-11-27 10:54:14.967000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,
2020-11-27 10:54:14.964000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,
2020-11-27 10:54:14.968000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,
2019,UNIV09,7,,3,1,2
2020-09-17 13:37:41.967000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,
2019,UNIV09,4,,3,2,1
2019,UNIV09,5,,1,1,
2019,UNIV09,8,,2,1,1
2019,UNIV09,2,,2,2,
2020-09-17 13:37:28.273000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,
2019,UNIV09,1,,2,2,
2019,UNIV04,1,,1,1,
2020-09-21 14:24:05.215000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,
2020-09-21 14:24:05.215000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,
2019,UNIV04,8,,1,1,
2019,UNIV12,7,1,1,,
2019,UNIV12,5,,0,,
2019,UNIV12,4,,1,1,
2019,UNIV12,8,1,2,1,
2019,UNIV12,9,,3,,3
2019,UNIV12,2,1,2,1,
2019,UNIV12,3,3,3,,
2019,UNIV12,1,,1,1,
2021-06-21 16:42:58.960000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,
2021-06-21 16:42:58.971000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,
2021-06-21 16:42:58.978000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,
2021-06-21 16:42:58.965000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,
2019,UNIV11,10,,1,1,
2019,UNIV11,7,,1,1,
2020-08-26 12:06:21.732000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,
2019,UNIV11,6,,1,1,
2019,UNIV11,1,,1,1,
2020-08-26 12:06:21.732000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,
2019,UNIV11,2,,0,,
2019,UNIV11,3,,3,3,
2019,UNIV11,4,,1,1,
2020-09-09 09:22:35.310000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,
2019,UNIV24,5,8,11,2,1
2019,UNIV24,7,,2,1,1
2019,UNIV24,4,,1,1,
2019,UNIV24,9,,10,8,2
2020-09-09 09:22:35.310000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,
2019,UNIV24,1,,2,2,
2020-09-09 09:22:35.310000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,
2019,UNIV24,6,1,1,,
2020-09-07 15:00:01.118000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,
2019,UNIV06,7,1,1,,
2019,UNIV06,3,1,1,,
2019,UNIV06,1,,2,2,
2019,UNIV06,8,,1,1,
2019,UNIV06,5,,1,1,
2019,UNIV06,9,1,3,1,1
2019,UNIV06,2,,1,1,
2019,UNIV06,4,,1,1,
2019,UNIV06,10,,1,1,
2019,UNIV37,7,1,1,,
2019,UNIV37,4,1,3,1,1
2019,UNIV37,3,5,8,2,1
2019,UNIV37,1,,1,1,
2019,UNIV37,5,,1,1,
2021-06-21 16:42:58.963000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,
2021-06-21 16:42:58.967000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,
2021-06-21 16:42:58.969000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,
2021-06-21 16:42:58.972000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,
2021-06-21 16:42:58.974000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,
2021-06-21 16:42:58.980000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,
2021-06-18 17:09:26.349000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,
2020-09-01 15:56:20.745000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,
2020-09-01 15:56:20.745000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,
2020-09-01 15:56:20.745000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,
2020-09-01 15:56:20.745000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,
2020-09-01 15:56:20.745000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,
2020-09-01 15:57:45.326000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,
2020-09-01 15:57:45.326000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,
2020-09-01 15:57:14.284000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,
2020-09-01 15:57:34.728000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,
2020-09-01 15:57:34.728000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,
2020-09-01 15:57:45.326000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,
2020-09-11 11:52:05.438000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,
2020-09-11 11:52:05.438000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,
2020-09-11 11:52:05.438000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,
2020-09-11 11:52:05.438000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,
2020-09-11 11:52:05.438000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,
2020-09-11 11:52:05.438000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,
2020-09-11 11:52:05.438000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,
2019,UNIV32,10,,1,1,
2019,UNIV32,7,,1,1,
2019,UNIV32,5,,1,1,
2019,UNIV32,1,,1,,1
2019,UNIV32,2,,0,,
2019,UNIV32,4,1,1,,
2019,UNIV32,9,,2,1,1
2019,UNIV32,8,,1,1,
2019,UNIV32,3,2,3,1,
2020-10-08 11:34:58.544000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,
2020-10-08 11:34:58.544000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,
2020-10-29 18:05:39.224000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,
2019,UNIV17,10,,1,1,
2020-10-29 18:04:31.190000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,
2019,UNIV17,8,1,1,,
2019,UNIV17,2,,1,1,
2019,UNIV13,1,,1,1,
2019,UNIV13,4,,3,3,
2019,UNIV13,10,,1,1,
2020-10-21 14:08:58.236000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,
2019,UNIV13,9,16,20,4,
2020-10-21 14:08:58.234000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,
2019,UNIV36,9,,0,,
2019,UNIV36,3,1,2,1,
2019,UNIV36,4,1,2,1,
2019,UNIV36,8,1,2,,1
2019,UNIV36,1,,1,1,
2019,UNIV36,11,,1,,1
2019,UNIV36,7,,1,1,
2019,UNIV36,5,1,1,,
2019,UNIV36,2,,1,,1
2020-11-03 14:36:21.052000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,
2020-08-14 15:57:47.707000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,
2020-08-14 15:57:47.711000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,
2020-08-14 15:57:47.713000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,
2020-08-14 15:57:47.714000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,
2020-08-14 15:57:47.716000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,
2020-08-14 15:57:47.718000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,
2020-08-18 11:32:11.581000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,
2020-09-07 14:58:45.712000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,
2020-09-07 14:58:45.712000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,
2020-09-07 15:00:01.118000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,
2020-09-07 14:58:45.728000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,
2020-09-07 14:58:45.728000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,
2020-09-07 14:58:45.728000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,
2020-09-07 14:58:45.728000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,
2020-09-07 15:00:01.118000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,
2020-09-16 11:57:27.397000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,
2020-09-10 16:17:23.404000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,
2020-09-10 16:21:03.830000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,
2020-09-10 16:30:48.510000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,
2020-09-10 16:21:03.830000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,
2020-09-10 16:21:03.830000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,
2020-09-10 16:34:01.210000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,
2020-09-10 16:31:35.464000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,
2020-09-10 16:21:03.846000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,
2020-09-10 16:21:03.846000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,
2019,UNIV23,1,,1,1,
2019,UNIV23,10,,1,1,
2019,UNIV23,2,,1,1,
2019,UNIV23,3,,14,3,11
2019,UNIV23,5,,12,8,4
2019,UNIV23,7,,1,,1
2019,UNIV23,9,,5,,5
2020-09-21 14:26:37.532000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,
2020-09-21 14:25:32.780000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,
2020-09-21 14:26:37.532000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,
2020-09-23 09:04:58.674000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,
2020-09-23 09:24:44.295000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,
2020-09-23 09:04:58.674000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,
2020-09-23 09:04:58.690000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,
2020-09-23 09:04:58.690000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,
2020-09-23 09:04:58.690000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,
2020-09-23 09:04:58.690000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,
2020-09-23 09:04:58.690000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,
2019,UNIV34,2,,1,1,
2020-11-02 15:48:43.861000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2020-11-02 15:48:43.864000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2020-11-02 15:48:43.873000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2020-11-02 15:48:43.868000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2020-11-02 15:48:43.863000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2020-11-02 15:48:43.870000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2020-11-02 15:48:43.857000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2020-11-02 15:48:43.866000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2020-11-02 15:48:43.871000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2020-11-02 15:48:43.859000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2021-09-30 16:22:32.196000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,
2021-09-30 15:40:02.935000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,
2021-09-30 16:24:14.575000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,
2021-09-30 15:39:32.174000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,
2021-09-30 16:23:43.697000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,
2021-09-30 15:39:32.178000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,
2021-09-30 15:39:32.180000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,
2021-09-30 15:39:32.182000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,
2021-09-30 15:39:32.184000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,
2021-09-30 16:22:25.343000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,
2019,UNIV03,7,,1,,1
2019,UNIV03,3,,4,1,3
2019,UNIV03,2,,3,2,1
2019,UNIV03,8,,1,,1
2019,UNIV03,4,,1,,1
2019,UNIV03,1,,2,2,
2019,UNIV19,6,,1,1,
2021-04-26 10:02:23.689000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,
2019,UNIV19,8,,6,6,
2019,UNIV19,2,,2,2,
2021-04-26 10:02:23.687000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,
2019,UNIV19,11,,1,1,
2019,UNIV19,10,,2,2,
2019,UNIV19,3,2,5,3,
2021-04-26 10:02:23.691000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,
2019,UNIV19,1,,1,1,
2019,UNIV19,4,1,4,3,
2021-04-30 15:14:20.617000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,
2019,UNIV07,10,,1,1,
2019,UNIV07,7,,1,,1
2019,UNIV07,8,,2,1,1
2021-04-30 15:14:20.619000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,
2021-04-30 15:14:20.621000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,
2021-08-17 16:14:17.599000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,
2021-08-17 16:14:17.599000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,
2021-08-17 16:14:17.599000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,
2021-08-17 16:14:17.599000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,
2021-08-17 16:14:17.599000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,
2021-08-17 16:14:17.599000,YYYY-MM-DD HH24:MI:SS.FF,univ38,,,,
2021-04-27 14:23:54.071000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,
2021-04-27 14:23:54.075000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,
2021-04-27 14:23:54.077000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,
2021-04-27 14:25:48.853000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,
2021-04-27 14:23:54.080000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,
2021-04-27 14:23:54.082000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,
2021-04-27 14:23:54.084000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,
2021-04-27 14:24:43.698000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,
2021-05-04 10:28:21.071000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,
2021-05-04 10:28:21.073000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,
2021-05-04 10:28:21.075000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,
2021-05-04 10:28:21.077000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,
2021-05-04 10:28:21.078000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,
2021-05-04 10:28:21.080000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,
2021-05-04 10:28:21.082000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,
2021-05-04 10:28:21.083000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,
2021-06-18 17:17:56.369000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,
2021-06-21 16:46:28.751000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,
2021-06-21 16:46:28.754000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,
2021-06-21 16:46:28.756000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,
2021-06-21 16:46:28.758000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,
2021-06-21 16:46:28.760000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,
2021-06-21 16:46:28.762000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,
2021-06-21 16:46:28.763000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,
2021-06-21 16:46:28.765000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,
2021-06-21 16:46:28.767000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,
2021-06-21 16:46:28.769000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,
